# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.140 accel_g_per_lsb=0.000488
4694104486,0,1,3,-1,3,17,-2046
4694105486,0,0,-4,-1,-4,20,-2045
4694106486,0,3,-1,-4,-2,20,-2049
4694107486,0,1,1,-3,-1,25,-2047
4694108486,0,2,-6,-4,6,32,-2040
4694109486,0,3,-2,-3,-3,27,-2045
4694110486,0,4,-6,-2,5,31,-2047
4694111486,0,1,-1,-2,1,23,-2046
4694112486,0,0,-2,-2,4,26,-2046
4694113486,0,4,-4,-6,10,28,-2044
4694114486,0,2,-4,0,4,30,-2042
4694115486,0,2,0,-4,-2,30,-2054
4694116486,0,1,-3,-1,0,21,-2047
4694117486,0,1,-5,-6,1,25,-2048
4694118486,0,5,-2,-6,2,31,-2047
4694119486,0,-1,-1,-6,0,18,-2047
4694120486,0,0,1,-6,1,27,-2050
4694121486,0,3,-2,-4,1,26,-2041
4694122486,0,6,-2,-3,1,33,-2045
4694123486,0,6,-4,-5,0,28,-2045
4694124487,0,2,2,0,6,25,-2048
4694125486,0,0,1,0,4,29,-2047
4694126488,0,-2,-3,-3,6,18,-2049
4694127486,0,1,-4,-5,9,22,-2046
4694128486,0,2,-1,-3,-2,32,-2043
4694129486,0,1,0,-5,0,31,-2047
4694130486,0,4,-3,-5,4,29,-2043
4694131486,0,5,2,-5,-5,22,-2049
4694132486,0,5,-7,-7,-2,22,-2050
4694133486,0,1,0,-3,3,20,-2048
4694134486,0,1,-4,-4,0,26,-2043
4694135486,0,6,-2,-2,1,27,-2047
4694136486,0,2,-1,-1,-3,23,-2046
4694137486,0,5,-3,-5,6,14,-2042
4694138486,0,3,0,-4,4,23,-2044
4694139486,0,3,0,-3,1,24,-2050
4694140486,0,0,1,0,-3,28,-2042
4694141486,0,1,-2,0,4,29,-2050
4694142486,0,0,-4,-1,4,25,-2040
4694143486,0,2,1,-3,2,22,-2041
4694144486,0,5,-2,-4,-1,29,-2051
4694145486,0,4,-3,-3,-3,16,-2049
4694146486,0,4,-5,-4,1,25,-2047
4694147486,0,2,-2,-4,3,25,-2042
4694148486,0,-1,-2,-4,5,25,-2049
4694149486,0,3,-3,-1,7,23,-2050
4694150486,0,4,-2,-1,3,29,-2052
4694151486,0,1,-2,-5,8,30,-2052
4694152486,0,-1,-2,-3,1,30,-2045
4694153486,0,2,-3,-3,11,31,-2045
4694154486,0,3,-2,-4,12,36,-2042
4694155486,0,3,0,-2,1,32,-2049
4694156486,0,-1,-2,-5,1,31,-2039
4694157486,0,-2,-4,-6,0,23,-2041
4694158486,0,1,-1,-5,8,21,-2046
4694159486,0,2,-3,-4,0,23,-2045
4694160486,0,-1,-2,-3,7,27,-2040
4694161486,0,3,-2,-5,8,27,-2038
4694162486,0,3,-2,-3,9,24,-2039
4694163486,0,2,-3,-2,-8,26,-2042
4694164486,0,3,-3,-2,1,22,-2042
4694165486,0,3,-6,-3,5,21,-2044
4694166486,0,2,0,-1,8,24,-2045
4694167486,0,1,-2,-5,1,25,-2039
4694168486,0,0,-1,-1,4,26,-2048
4694169486,0,3,-2,2,4,26,-2046
4694170486,0,2,-6,-5,1,23,-2045
4694171486,0,-1,-2,-5,3,23,-2049
4694172486,0,3,-2,-5,-1,27,-2032
4694173486,0,2,-2,-3,3,24,-2039
4694174486,0,1,-5,-1,-3,29,-2049
4694175486,0,2,-2,-5,5,24,-2040
4694176486,0,2,-2,-4,3,22,-2041
4694177486,0,0,-3,-1,1,26,-2044
4694178486,0,3,-4,-1,1,22,-2050
4694179486,0,2,-2,-5,-2,20,-2042
4694180486,0,4,-5,-5,0,30,-2041
4694181486,0,4,-3,-4,6,26,-2046
4694182486,0,2,-2,-4,5,28,-2046
4694183486,0,2,-5,-6,0,30,-2043
4694184486,0,-2,2,0,6,27,-2046
4694185486,0,5,-3,-6,1,24,-2042
4694186486,0,4,-5,-4,-6,27,-2042
4694187486,0,5,-5,1,0,24,-2052
4694188486,0,5,-4,-2,-7,31,-2051
4694189486,0,-1,0,-1,11,24,-2047
4694190486,0,0,0,-3,-2,27,-2046
4694191486,0,3,-2,-1,4,29,-2041
4694192486,0,1,1,-5,2,33,-2047
4694193486,0,1,1,-1,6,31,-2047
4694194486,0,4,-6,-4,4,29,-2048
4694195486,0,4,-1,-4,7,35,-2046
4694196486,0,2,-5,-4,2,25,-2052
4694197486,0,-1,-5,-3,2,31,-2046
4694198486,0,2,3,-1,8,28,-2040
4694199486,0,3,-3,-4,4,26,-2048
4694200486,0,4,-3,-6,11,28,-2043
4694201486,0,0,-1,-1,5,25,-2041
4694202486,0,5,-9,-5,5,33,-2043
4694203486,0,3,-3,-6,2,28,-2041
4694204486,0,2,-5,-4,5,31,-2043
4694205486,0,4,0,-4,3,21,-2044
4694206486,0,2,-1,-5,2,22,-2037
4694207486,0,1,-2,-4,-4,27,-2043
4694208486,0,1,-2,-4,5,23,-2037
4694209486,0,1,-1,-8,1,31,-2041
4694210486,0,4,-3,-4,6,20,-2042
4694211486,0,-2,-1,-4,-3,28,-2047
4694212486,0,1,-1,-3,-1,27,-2037
4694213486,0,3,-3,-6,6,27,-2045
4694214486,0,-2,-2,-2,6,24,-2043
4694215486,0,1,-7,-4,4,18,-2037
4694216486,0,1,1,2,1,27,-2038
4694217486,0,1,-5,-2,8,23,-2049
4694218486,0,1,-3,-3,1,25,-2042
4694219486,0,2,-3,-3,2,26,-2043
4694220486,0,1,-3,-3,5,22,-2046
4694221486,0,0,-6,-4,4,28,-2045
4694222486,0,2,-5,-3,0,25,-2050
4694223486,0,0,-2,-5,5,22,-2053
4694224486,0,3,-1,-2,3,26,-2052
4694225486,0,-2,-4,-4,1,23,-2053
4694226486,0,3,-5,-5,-3,24,-2054
4694227486,0,0,-3,-5,5,25,-2039
4694228486,0,2,1,-8,2,26,-2042
4694229486,0,-1,-2,-3,4,18,-2051
4694230486,0,-1,0,-1,8,25,-2041
4694231486,0,6,-4,-5,6,25,-2045
4694232486,0,4,-4,-5,1,35,-2041
4694233486,0,3,-2,-6,-4,26,-2042
4694234486,0,-1,-4,-2,3,27,-2039
4694235486,0,0,-1,-4,4,25,-2044
4694236486,0,3,-2,-4,7,33,-2048
4694237486,0,0,1,0,6,26,-2038
4694238486,0,4,-4,-3,10,24,-2046
4694239486,0,2,-2,-4,-1,28,-2044
4694240486,0,1,-4,-3,4,22,-2040
4694241486,0,4,-3,-4,1,26,-2044
4694242486,0,4,0,-8,-3,29,-2039
4694243486,0,0,-1,0,9,34,-2040
4694244486,0,2,-2,-3,2,21,-2046
4694245486,0,4,2,-1,-1,31,-2050
4694246486,0,4,-3,0,2,26,-2048
4694247486,0,2,-1,-2,6,30,-2048
4694248486,0,2,-2,-5,13,25,-2042
4694249486,0,4,-4,-3,6,29,-2048
4694250486,0,-2,3,1,2,21,-2041
4694251486,0,1,-4,-1,-2,29,-2043
4694252486,0,3,0,-4,-2,26,-2044
4694253486,0,4,2,0,8,25,-2050
4694254486,0,2,2,-3,9,28,-2044
4694255486,0,1,-3,-2,0,23,-2042
