# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.070 accel_g_per_lsb=0.000244
5117125103,0,5,-5,-9,44,49,-4087
5117126103,0,7,0,-6,39,46,-4080
5117127103,0,7,-4,-8,42,43,-4094
5117128103,0,0,-2,-7,29,37,-4098
5117129103,0,5,0,-6,55,40,-4075
5117130103,0,1,-4,-7,50,40,-4097
5117131103,0,2,-7,-5,52,48,-4084
5117132103,0,9,-5,-7,53,63,-4089
5117133103,0,5,-5,-7,45,52,-4095
5117134103,0,2,-5,-12,53,47,-4085
5117135103,0,6,-1,-9,56,37,-4107
5117136103,0,5,-8,-9,56,33,-4089
5117137103,0,2,0,-7,44,43,-4087
5117138103,0,9,-9,-5,42,50,-4091
5117139103,0,7,-8,-7,43,42,-4083
5117140103,0,9,-2,-6,43,36,-4085
5117141103,0,5,-5,-6,38,57,-4091
5117142103,0,4,-2,-6,37,33,-4092
5117143103,0,4,-1,-10,65,48,-4085
5117144103,0,8,-7,-9,45,51,-4073
5117145103,0,3,-6,-3,39,49,-4100
5117146103,0,8,-2,-10,44,42,-4111
5117147103,0,9,-7,-10,54,41,-4066
5117148103,0,9,-5,-5,58,39,-4083
5117149103,0,1,-8,-6,47,46,-4091
5117150103,0,7,-1,-5,45,52,-4090
5117151103,0,2,2,-6,58,53,-4090
5117152103,0,7,-9,-5,48,49,-4081
5117153103,0,6,-5,-6,50,36,-4087
5117154103,0,3,-3,-5,33,45,-4082
5117155103,0,5,-9,-2,32,48,-4078
5117156103,0,3,1,-6,46,44,-4081
5117157103,0,4,-7,-6,54,42,-4094
5117158103,0,4,-3,-7,42,35,-4090
5117159103,0,7,0,-7,33,44,-4087
5117160103,0,11,-6,-9,36,51,-4072
5117161103,0,4,3,-8,52,44,-4079
5117162103,0,7,-5,-10,49,39,-4083
5117163103,0,3,-5,-7,29,50,-4089
5117164103,0,7,-2,-7,47,37,-4094
5117165103,0,1,-5,-8,39,37,-4088
5117166103,0,5,-3,-10,43,49,-4079
5117167103,0,4,-1,-5,45,38,-4098
5117168103,0,-1,-4,0,30,42,-4086
5117169103,0,6,-1,-3,45,40,-4082
5117170103,0,3,-5,-4,38,53,-4095
5117171103,0,7,-6,-7,36,48,-4082
5117172103,0,3,1,-8,41,42,-4074
5117173103,0,7,-5,-10,28,29,-4093
5117174103,0,3,-2,-4,44,46,-4070
5117175103,0,5,-4,-9,46,43,-4087
5117176103,0,8,-6,-6,42,45,-4082
5117177103,0,4,-4,-9,27,25,-4081
5117178103,0,3,-5,-5,40,30,-4096
5117179103,0,4,-4,-9,40,40,-4108
5117180103,0,5,-6,-3,40,38,-4080
5117181103,0,9,-5,-6,43,49,-4094
5117182103,0,8,0,-5,50,43,-4086
5117183103,0,1,3,-4,45,48,-4079
5117184103,0,7,-8,-10,52,36,-4083
5117185103,0,-6,-2,-8,42,44,-4084
5117186103,0,7,-1,-6,44,52,-4078
5117187103,0,0,-1,-10,41,43,-4091
5117188103,0,2,0,-5,59,37,-4097
5117189103,0,4,-4,-10,34,40,-4082
5117190103,0,5,-2,-7,31,40,-4103
5117191103,0,3,-4,-10,41,45,-4103
5117192103,0,3,-2,-9,43,47,-4092
5117193103,0,0,1,-8,64,46,-4100
5117194103,0,1,-8,-6,49,27,-4092
5117195103,0,11,-3,-7,41,33,-4081
5117196103,0,2,-6,-6,47,28,-4085
5117197103,0,9,-1,-9,50,41,-4100
5117198103,0,5,-5,-9,42,46,-4090
5117199103,0,3,-7,-9,49,47,-4096
5117200103,0,1,-7,-4,54,26,-4091
5117201103,0,2,-3,-7,47,33,-4096
5117202103,0,3,-5,-9,47,45,-4094
5117203103,0,4,-6,-2,55,41,-4097
5117204103,0,9,-9,-5,44,39,-4069
5117205103,0,6,-4,-11,38,45,-4080
5117206103,0,2,-3,-5,30,36,-4082
5117207103,0,3,-3,-7,36,41,-4076
5117208103,0,4,-4,-6,43,42,-4080
5117209103,0,4,-3,-3,38,39,-4088
5117210103,0,-2,-5,-7,46,33,-4089
5117211103,0,2,-1,-5,43,50,-4092
5117212103,0,-5,-3,-5,38,51,-4085
5117213103,0,0,-12,-5,49,39,-4086
5117214103,0,4,-6,-6,33,56,-4081
5117215103,0,8,-8,-5,52,64,-4086
5117216103,0,7,-9,-7,49,51,-4083
5117217103,0,7,-8,-2,55,35,-4093
5117218103,0,8,-6,-2,45,51,-4098
5117219103,0,6,3,-5,49,47,-4081
5117220103,0,7,-1,-3,48,44,-4096
5117221103,0,4,-8,-6,50,53,-4096
5117222103,0,5,-6,-11,39,33,-4080
5117223103,0,4,-1,-7,37,49,-4084
5117224103,0,2,-6,-12,46,49,-4090
5117225103,0,9,-3,-6,25,49,-4090
5117226103,0,5,-5,-7,40,45,-4075
5117227103,0,5,-8,-5,38,40,-4090
5117228103,0,0,-7,-11,26,47,-4090
5117229103,0,4,-3,-7,32,51,-4094
5117230103,0,3,-4,-7,36,51,-4096
5117231103,0,6,-8,-7,47,43,-4091
5117232103,0,1,-2,-8,60,42,-4085
5117233103,0,-3,3,-3,72,49,-4090
5117234103,0,0,-7,-7,52,44,-4090
5117235103,0,3,-1,-3,51,53,-4097
5117236103,0,2,-1,-7,48,45,-4085
5117237103,0,10,-5,-7,55,46,-4090
5117238103,0,2,2,-7,39,55,-4088
5117239103,0,2,-9,-13,27,45,-4088
5117240103,0,1,-5,-6,43,44,-4094
5117241103,0,6,-8,-8,46,38,-4088
5117242103,0,2,-7,-8,37,49,-4099
5117243103,0,3,-7,-10,47,44,-4088
5117244103,0,5,-5,-8,47,51,-4081
5117245103,0,4,-2,-8,43,48,-4089
5117246103,0,0,-1,-7,35,43,-4089
5117247103,0,0,-2,-5,51,34,-4087
5117248103,0,2,-3,-3,40,51,-4086
5117249103,0,-1,-1,-5,42,40,-4099
5117250103,0,5,-5,-8,67,37,-4095
5117251103,0,3,-4,-5,52,56,-4086
5117252104,0,1,-3,-5,48,42,-4085
5117253103,0,8,-4,-8,46,27,-4082
5117254104,0,2,-3,-8,45,48,-4074
5117255105,0,-3,-4,-11,51,51,-4081
5117256103,0,0,-1,-5,54,48,-4070
5117257103,0,4,-7,-15,46,54,-4088
5117258103,0,3,-9,-7,36,46,-4094
5117259103,0,4,-4,-11,49,33,-4079
5117260103,0,5,-1,-8,48,46,-4101
5117261103,0,5,-10,-13,38,40,-4087
5117262103,0,9,-8,-7,49,34,-4077
5117263103,0,6,-6,-5,48,41,-4087
5117264103,0,3,-4,-4,47,36,-4078
5117265103,0,3,2,-3,48,58,-4092
5117266103,0,3,-3,-6,59,50,-4091
5117267103,0,4,2,1,51,48,-4073
5117268103,0,3,-4,-5,42,36,-4092
5117269103,0,5,0,-4,57,44,-4083
5117270103,0,1,1,-3,42,40,-4081
5117271103,0,4,-8,-6,59,42,-4103
5117272103,0,4,-5,-7,57,52,-4086
5117273103,0,5,-7,-8,42,41,-4096
5117274103,0,4,-5,-10,61,48,-4094
5117275103,0,3,-5,-3,49,35,-4091
5117276103,0,13,-6,-8,31,35,-4081
5117277103,0,3,-2,-9,44,45,-4086
5117278103,0,11,-6,-5,44,49,-4068
5117279103,0,-3,-2,-9,38,55,-4085
5117280103,0,3,-10,-10,44,44,-4090
5117281103,0,4,2,-6,40,48,-4080
